Time,Y,X,S,k1,k2,k3,k4,_J0,_J1,_J2,_J3
9.030100334448168,4.300036189745809,5.8806594088297475,1,8,1,1,1.5,34.40028951796647,34.582155082657835,25.287048277537107,8.820989113244622
9.130434782608702,4.3175183414201745,5.891251617269867,1,8,1,1,1.5,34.540146731361396,34.70684561798482,25.435586911483917,8.8368774259048
9.230769230769237,4.333535891279916,5.900937771638093,1,8,1,1,1.5,34.66828713023933,34.82106658474514,25.571925625603004,8.85140665745714
9.331103678929772,4.348204546921742,5.909783182580558,1,8,1,1,1.5,34.78563637537393,34.925537265111984,25.696946105818423,8.864674773870837
9.431438127090306,4.361626066039485,5.917860287969551,1,8,1,1,1.5,34.89300852831588,35.02107038792706,25.81149368718793,8.876790431954326
9.53177257525084,4.3739013000578275,5.925229259652026,1,8,1,1,1.5,34.99121040046262,35.10834177943649,25.916367961932675,8.887843889478038
9.632107023411375,4.385128025450982,5.931941679905628,1,8,1,1,1.5,35.08102420360785,35.18793209380161,26.012323705894946,8.897912519858442
9.73244147157191,4.395384796138759,5.938061594065952,1,8,1,1,1.5,35.163078369110075,35.26057549492108,26.100065649092972,8.907092391098928
9.832775919732445,4.4047442464896625,5.943647778509378,1,8,1,1,1.5,35.2379539719173,35.32694891497947,26.180248355550248,8.915471667764066
9.93311036789298,4.413281429120071,5.948741711828021,1,8,1,1,1.5,35.306251432960565,35.38752795404257,26.253471323442543,8.92311256774203
10.033444816053514,4.421067792791041,5.953383399190477,1,8,1,1,1.5,35.368542342328325,35.44277389775676,26.320311604297864,8.930075098785714
10.133779264214049,4.4281737151885086,5.9576037800436,1,8,1,1,1.5,35.42538972150807,35.493042799989794,26.381304464296772,8.936405670065401
10.234113712374583,4.434652966219591,5.961443898410931,1,8,1,1,1.5,35.47722372975673,35.53881335390091,26.436934867039717,8.942165847616396
10.334448160535118,4.440557648988203,5.964938888308191,1,8,1,1,1.5,35.52446119190562,35.58049594125135,26.487655006224124,8.947408332462286
10.434782608695652,4.445931163664743,5.968125910738324,1,8,1,1,1.5,35.567449309317944,35.61852688642615,26.533876975226544,8.952188866107488
10.535117056856187,4.4508236280326,5.971026397364008,1,8,1,1,1.5,35.6065890242608,35.6531562380178,26.575985372994097,8.956539596046012
