Time,A,B,C,comp,k1,k2,_J0,_J1
3.4170854271356785,9.881114351560232,0.1184795227097068,0.00040612572961890443,100,0.35,0.2,3.458390023046081,0.02369590454194136
3.5175879396984926,9.877639193970737,0.12193051842337883,0.00043028760497414045,100,0.35,0.2,3.4571737178897575,0.024386103684675767
3.6180904522613067,9.874165258609146,0.12537959841112065,0.00045514297832941505,100,0.35,0.2,3.455957840513201,0.02507591968222413
3.7185929648241207,9.870692545018116,0.1288267635399781,0.0004806914399616061,100,0.35,0.2,3.4547423907563406,0.025765352707995622
3.819095477386935,9.867221052763675,0.13227201463258598,0.0005069326012103893,100,0.35,0.2,3.4535273684672863,0.026454402926517198
3.919597989949749,9.863750781410733,0.1357153525136888,0.0005338660724321479,100,0.35,0.2,3.452312773493756,0.02714307050273776
4.020100502512563,9.860281730522932,0.13915677801041776,0.0005614914628688325,100,0.35,0.2,3.451098605683026,0.027831355602083552
4.120603015075377,9.85681389969374,0.14259629189318862,0.0005898084086327787,100,0.35,0.2,3.449884864892809,0.028519258378637724
4.2211055276381915,9.853347288494653,0.14603389497416416,0.0006188165260850956,100,0.35,0.2,3.4486715509731285,0.029206778994832833
4.3216080402010055,9.849881896486488,0.1494695880857568,0.0006485154220146615,100,0.35,0.2,3.447458663770271,0.029893917617151364
4.42211055276382,9.846417723239945,0.15290337204158777,0.0006789047121238964,100,0.35,0.2,3.4462462031339807,0.030580674408317556
4.522613065326634,9.842954768325956,0.1563352476547982,0.0007099840123586843,100,0.35,0.2,3.4450341689140846,0.03126704953095964
4.623115577889448,9.839493031315708,0.15976521573802846,0.0007417529389181651,100,0.35,0.2,3.4438225609604975,0.03195304314760569
4.723618090452262,9.836032511784856,0.16319327709530987,0.0007742111120429939,100,0.35,0.2,3.4426113791246995,0.032638655419061975
4.824120603015076,9.832573209304616,0.16661943253918093,0.0008073581480192166,100,0.35,0.2,3.4414006232566154,0.03332388650783619
4.92462311557789,9.829115123447819,0.1700436828790722,0.0008411936646047499,100,0.35,0.2,3.4401902932067365,0.03400873657581444
5.025125628140704,9.825658253788129,0.17346602892278856,0.000875717280337181,100,0.35,0.2,3.438980388825845,0.034693205784557715
5.125628140703518,9.822202599899734,0.1768864714771068,0.0009109286142548285,100,0.35,0.2,3.437770909964907,0.03537729429542136
5.226130653266332,9.818748161355325,0.18030501135162452,0.0009468272840741345,100,0.35,0.2,3.4365618564743636,0.0360610022703249
5.326633165829146,9.815294937707154,0.1837216493947514,0.0009834128891488044,100,0.35,0.2,3.4353532281975037,0.03674432987895029
5.42713567839196,9.811842928541296,0.1871363863905826,0.001020685059297355,100,0.35,0.2,3.434145024989453,0.037427277278116525
5.527638190954774,9.808392133431203,0.19054922314718567,0.0010586434130014448,100,0.35,0.2,3.432937246700921,0.03810984462943714
5.628140703517588,9.804942551950878,0.19396016047154854,0.001097287569267342,100,0.35,0.2,3.431729893182807,0.03879203209430971
